module,rank,record id,file name,mount pt,fs type,HEATMAP_F_BIN_WIDTH_SECONDS,HEATMAP_READ_BIN_0,HEATMAP_READ_BIN_1,HEATMAP_READ_BIN_10,HEATMAP_READ_BIN_100,HEATMAP_READ_BIN_11,HEATMAP_READ_BIN_12,HEATMAP_READ_BIN_13,HEATMAP_READ_BIN_14,HEATMAP_READ_BIN_15,HEATMAP_READ_BIN_16,HEATMAP_READ_BIN_17,HEATMAP_READ_BIN_18,HEATMAP_READ_BIN_19,HEATMAP_READ_BIN_2,HEATMAP_READ_BIN_20,HEATMAP_READ_BIN_21,HEATMAP_READ_BIN_22,HEATMAP_READ_BIN_23,HEATMAP_READ_BIN_24,HEATMAP_READ_BIN_25,HEATMAP_READ_BIN_26,HEATMAP_READ_BIN_27,HEATMAP_READ_BIN_28,HEATMAP_READ_BIN_29,HEATMAP_READ_BIN_3,HEATMAP_READ_BIN_30,HEATMAP_READ_BIN_31,HEATMAP_READ_BIN_32,HEATMAP_READ_BIN_33,HEATMAP_READ_BIN_34,HEATMAP_READ_BIN_35,HEATMAP_READ_BIN_36,HEATMAP_READ_BIN_37,HEATMAP_READ_BIN_38,HEATMAP_READ_BIN_39,HEATMAP_READ_BIN_4,HEATMAP_READ_BIN_40,HEATMAP_READ_BIN_41,HEATMAP_READ_BIN_42,HEATMAP_READ_BIN_43,HEATMAP_READ_BIN_44,HEATMAP_READ_BIN_45,HEATMAP_READ_BIN_46,HEATMAP_READ_BIN_47,HEATMAP_READ_BIN_48,HEATMAP_READ_BIN_49,HEATMAP_READ_BIN_5,HEATMAP_READ_BIN_50,HEATMAP_READ_BIN_51,HEATMAP_READ_BIN_52,HEATMAP_READ_BIN_53,HEATMAP_READ_BIN_54,HEATMAP_READ_BIN_55,HEATMAP_READ_BIN_56,HEATMAP_READ_BIN_57,HEATMAP_READ_BIN_58,HEATMAP_READ_BIN_59,HEATMAP_READ_BIN_6,HEATMAP_READ_BIN_60,HEATMAP_READ_BIN_61,HEATMAP_READ_BIN_62,HEATMAP_READ_BIN_63,HEATMAP_READ_BIN_64,HEATMAP_READ_BIN_65,HEATMAP_READ_BIN_66,HEATMAP_READ_BIN_67,HEATMAP_READ_BIN_68,HEATMAP_READ_BIN_69,HEATMAP_READ_BIN_7,HEATMAP_READ_BIN_70,HEATMAP_READ_BIN_71,HEATMAP_READ_BIN_72,HEATMAP_READ_BIN_73,HEATMAP_READ_BIN_74,HEATMAP_READ_BIN_75,HEATMAP_READ_BIN_76,HEATMAP_READ_BIN_77,HEATMAP_READ_BIN_78,HEATMAP_READ_BIN_79,HEATMAP_READ_BIN_8,HEATMAP_READ_BIN_80,HEATMAP_READ_BIN_81,HEATMAP_READ_BIN_82,HEATMAP_READ_BIN_83,HEATMAP_READ_BIN_84,HEATMAP_READ_BIN_85,HEATMAP_READ_BIN_86,HEATMAP_READ_BIN_87,HEATMAP_READ_BIN_88,HEATMAP_READ_BIN_89,HEATMAP_READ_BIN_9,HEATMAP_READ_BIN_90,HEATMAP_READ_BIN_91,HEATMAP_READ_BIN_92,HEATMAP_READ_BIN_93,HEATMAP_READ_BIN_94,HEATMAP_READ_BIN_95,HEATMAP_READ_BIN_96,HEATMAP_READ_BIN_97,HEATMAP_READ_BIN_98,HEATMAP_READ_BIN_99,HEATMAP_WRITE_BIN_0,HEATMAP_WRITE_BIN_1,HEATMAP_WRITE_BIN_10,HEATMAP_WRITE_BIN_100,HEATMAP_WRITE_BIN_11,HEATMAP_WRITE_BIN_12,HEATMAP_WRITE_BIN_13,HEATMAP_WRITE_BIN_14,HEATMAP_WRITE_BIN_15,HEATMAP_WRITE_BIN_16,HEATMAP_WRITE_BIN_17,HEATMAP_WRITE_BIN_18,HEATMAP_WRITE_BIN_19,HEATMAP_WRITE_BIN_2,HEATMAP_WRITE_BIN_20,HEATMAP_WRITE_BIN_21,HEATMAP_WRITE_BIN_22,HEATMAP_WRITE_BIN_23,HEATMAP_WRITE_BIN_24,HEATMAP_WRITE_BIN_25,HEATMAP_WRITE_BIN_26,HEATMAP_WRITE_BIN_27,HEATMAP_WRITE_BIN_28,HEATMAP_WRITE_BIN_29,HEATMAP_WRITE_BIN_3,HEATMAP_WRITE_BIN_30,HEATMAP_WRITE_BIN_31,HEATMAP_WRITE_BIN_32,HEATMAP_WRITE_BIN_33,HEATMAP_WRITE_BIN_34,HEATMAP_WRITE_BIN_35,HEATMAP_WRITE_BIN_36,HEATMAP_WRITE_BIN_37,HEATMAP_WRITE_BIN_38,HEATMAP_WRITE_BIN_39,HEATMAP_WRITE_BIN_4,HEATMAP_WRITE_BIN_40,HEATMAP_WRITE_BIN_41,HEATMAP_WRITE_BIN_42,HEATMAP_WRITE_BIN_43,HEATMAP_WRITE_BIN_44,HEATMAP_WRITE_BIN_45,HEATMAP_WRITE_BIN_46,HEATMAP_WRITE_BIN_47,HEATMAP_WRITE_BIN_48,HEATMAP_WRITE_BIN_49,HEATMAP_WRITE_BIN_5,HEATMAP_WRITE_BIN_50,HEATMAP_WRITE_BIN_51,HEATMAP_WRITE_BIN_52,HEATMAP_WRITE_BIN_53,HEATMAP_WRITE_BIN_54,HEATMAP_WRITE_BIN_55,HEATMAP_WRITE_BIN_56,HEATMAP_WRITE_BIN_57,HEATMAP_WRITE_BIN_58,HEATMAP_WRITE_BIN_59,HEATMAP_WRITE_BIN_6,HEATMAP_WRITE_BIN_60,HEATMAP_WRITE_BIN_61,HEATMAP_WRITE_BIN_62,HEATMAP_WRITE_BIN_63,HEATMAP_WRITE_BIN_64,HEATMAP_WRITE_BIN_65,HEATMAP_WRITE_BIN_66,HEATMAP_WRITE_BIN_67,HEATMAP_WRITE_BIN_68,HEATMAP_WRITE_BIN_69,HEATMAP_WRITE_BIN_7,HEATMAP_WRITE_BIN_70,HEATMAP_WRITE_BIN_71,HEATMAP_WRITE_BIN_72,HEATMAP_WRITE_BIN_73,HEATMAP_WRITE_BIN_74,HEATMAP_WRITE_BIN_75,HEATMAP_WRITE_BIN_76,HEATMAP_WRITE_BIN_77,HEATMAP_WRITE_BIN_78,HEATMAP_WRITE_BIN_79,HEATMAP_WRITE_BIN_8,HEATMAP_WRITE_BIN_80,HEATMAP_WRITE_BIN_81,HEATMAP_WRITE_BIN_82,HEATMAP_WRITE_BIN_83,HEATMAP_WRITE_BIN_84,HEATMAP_WRITE_BIN_85,HEATMAP_WRITE_BIN_86,HEATMAP_WRITE_BIN_87,HEATMAP_WRITE_BIN_88,HEATMAP_WRITE_BIN_89,HEATMAP_WRITE_BIN_9,HEATMAP_WRITE_BIN_90,HEATMAP_WRITE_BIN_91,HEATMAP_WRITE_BIN_92,HEATMAP_WRITE_BIN_93,HEATMAP_WRITE_BIN_94,HEATMAP_WRITE_BIN_95,HEATMAP_WRITE_BIN_96,HEATMAP_WRITE_BIN_97,HEATMAP_WRITE_BIN_98,HEATMAP_WRITE_BIN_99
HEATMAP,0,16592106915301738621,heatmap:POSIX,UNKNOWN,UNKNOWN,0.100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3452561,135432,2134305,2917192,4255326,2193854,2728505,0,1374706,4238523,5498172,4422589,4251641,3284818,5627184,3830853,6293827,2326445,0,6592302,2873224,6294709,4761842,6985447,4290653,6322102,6363459,1407929,0,5212,482529,408402,0,669782,10360,176995,310802,1987457,1468951,912834,16328,404414,945562,823186,924155,1319320,1031818,2250918,1997480,2097031,1948025,956565,1524193,734515,1657720,2121447,2135753,1835269,943488,1503109,2155410,1912639,1999579,1274283,17184,2140015,2063742,2066139,2177848,2206557,1765104,2163019,1761984,2043440,2004880,8939,2093736,581264,6066,51200,2397048,2204752,2057107,2185678,1784744,1095600,965627,532015,2472508,1620073,2419757,2307711,2350543,2425076,2305361,2109125,2251484,395027,2329723,2448520,1569841,0,0,0,0,0,0,0,506186,0,0,0,0,0,0,0,0,0,0,27446,0,0,0,0,0,0,0,0,0,0
HEATMAP,0,3989511027826779520,heatmap:STDIO,UNKNOWN,UNKNOWN,0.100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1101,0
HEATMAP,1,16592106915301738621,heatmap:POSIX,UNKNOWN,UNKNOWN,0.100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6796533,5671056,7210088,7149502,7460845,7296339,6878739,0,6857087,7313584,6896049,6896042,7006021,6772933,2850055,4324825,6676721,801181,0,0,0,0,0,0,0,0,0,0,0,200678,1450556,8407,0,32502,1333816,983512,11623,274509,1367576,1453041,1790984,2379600,2227960,2245082,1369768,2127481,1874084,2313577,2253549,2232854,2468326,2369734,1334231,1305405,7803,760502,1916132,2185370,2468935,2392255,2257375,2393095,2491245,2162529,1926714,2514435,2467969,2435101,2572545,2576223,2017478,2308402,2414394,2366713,2409540,613554,1707117,2382459,2427611,2605108,2791504,2603654,2686561,2606237,2440450,0,1468848,0,0,0,0,0,0,0,0,0,0,6855,0,0,0,0,0,0,0,0,0,0,6855,0,0,0,0,0,0,0,0,0,0,57176,0,0,0,0,0,0,0,0,0,0
HEATMAP,10,16592106915301738621,heatmap:POSIX,UNKNOWN,UNKNOWN,0.100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3183757,532344,1277550,3743124,4324507,2340860,2692628,0,561894,4051156,5426370,4477714,4482461,3150615,5476020,3651440,6252343,2834287,0,6178735,3028510,5807503,4531114,6735235,4502355,6095776,6489971,3029331,0,423354,2041422,1673282,0,2252430,1860537,2083236,1805843,2024895,2074108,2053569,1462720,1205099,1836494,2039666,2189687,1903971,1827691,2175789,1886476,2061093,1951013,1196711,1566872,555738,1780504,2002384,2217984,1944647,2269682,1455563,2131592,1881394,1912978,1496114,16957,2173360,2027378,2048787,2217320,2179201,1834843,2133701,2036021,2106256,1876953,2162462,1682490,386180,5898,21180,2267405,2044098,1048552,2216614,1751266,1158711,1789147,0,0,0,0,0,0,0,0,0,0,2256287,0,0,0,0,0,0,0,0,0,0,1802391,0,0,0,0,0,0,0,0,0,0,2369604,0,0,0,0,0,0,0,0,0,0
HEATMAP,11,16592106915301738621,heatmap:POSIX,UNKNOWN,UNKNOWN,0.100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3033095,210844,1264527,3132272,4049809,2005991,2622187,0,513325,4300316,5162206,4425428,4430674,4004030,5375846,3764417,6100824,2014262,0,6131241,2775472,5749500,4585218,6805261,4441874,6064828,6384157,5509996,0,3311,449323,436574,0,690475,21760,161585,310743,1954716,1485566,925332,8109,423368,898747,849926,916245,1325932,1104564,2194736,1955683,2064856,1962169,960285,1498482,714896,1614222,2099088,2087150,1819839,951557,1511942,2150879,1898887,1934356,1233123,12352,2124070,2034327,2070170,2161623,2230909,1790267,2153041,1746838,2052084,1978885,14544,2087375,417320,5938,67315,2397239,2204163,2064935,2153357,1760610,1062848,925773,524863,2487211,1643073,2354859,2330433,2320311,2362965,2205509,2099984,2225031,376319,2300136,2398555,2483598,76924,0,0,0,0,0,0,517800,0,0,0,0,0,0,0,0,0,0,15619,0,0,0,0,0,0,0,0,0,0
HEATMAP,12,16592106915301738621,heatmap:POSIX,UNKNOWN,UNKNOWN,0.100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6384469,6106077,6951567,6917402,7017438,7104881,6552878,0,6807331,6732429,6588172,6891152,6536234,6273984,6266774,6040570,5686242,0,0,0,0,0,0,0,0,0,0,0,0,404302,1993824,2141322,0,2225781,2358898,2266376,1764237,1677847,1961816,1596526,1407990,1928458,2012503,1657865,1743850,2239881,1988249,2288357,2322609,2212540,2245941,2210894,1787703,2101239,2335156,2137617,1971361,2078889,2043137,1880682,2130379,2211592,2300041,1998206,1694197,2356713,2229754,2199490,2343562,2241895,2141921,2304530,2189065,2217699,2098469,1871180,1865235,2065914,0,0,0,0,0,0,0,0,1723321,0,0,0,0,0,0,0,0,0,0,1841948,0,0,0,0,0,0,0,0,0,0,1869466,0,0,0,0,0,0,0,0,0,0,1977173,0,0,0,0,0,0,0,0,0,0
HEATMAP,13,16592106915301738621,heatmap:POSIX,UNKNOWN,UNKNOWN,0.100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6098390,5972839,6824746,6740368,6848290,6988176,6501543,0,6772298,6644065,6392338,6761834,6489413,6194729,6198224,5958813,6431614,1039920,0,0,0,0,0,0,0,0,0,0,0,266375,1634436,1345582,0,1664955,1813122,1665958,1725701,1565164,1780910,1567093,1851241,1636974,1987022,1499862,1596995,2244368,1939707,1334452,1336243,2102105,2211018,2158398,1642468,2009890,2206373,1993260,1906428,2011624,1696834,1679011,2090470,2241755,2233265,1992616,1587093,2266116,2222301,1796663,2299377,2250711,2172343,2299382,2193167,2239967,2047910,1292943,1799373,2128592,2294434,2476264,1449126,2224087,520908,0,0,0,1662509,0,0,0,0,0,0,0,0,0,0,1692296,0,0,0,0,0,0,0,0,0,0,1808457,0,0,0,0,0,0,0,0,0,0,1501906,0,0,0,0,0,0,0,0,0,0
HEATMAP,14,16592106915301738621,heatmap:POSIX,UNKNOWN,UNKNOWN,0.100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6954848,6278079,7276622,7159507,7046265,6829643,6554794,0,6766568,6602654,6464738,6552771,6675892,6778354,6867186,6485815,3563864,0,0,0,0,0,0,0,0,0,0,0,0,116232,2335262,2315290,0,2152639,2519912,2618249,2342488,2279098,2211385,2439215,2657454,2389041,2408960,2388206,2340839,2251934,2441720,2592618,2236660,2353312,2326347,2309570,2144909,2399092,2333764,2308020,2542395,1247138,2434583,2200007,2274906,2444704,2346183,2415922,2473675,2548810,2293779,2338286,2298895,2329775,2106740,1167896,0,0,0,992388,0,0,0,0,0,0,0,0,0,0,2304442,0,0,0,0,0,0,0,0,0,0,2374526,0,0,0,0,0,0,0,0,0,0,2206626,0,0,0,0,0,0,0,0,0,0,2303708,0,0,0,0,0,0,0,0,0,0
HEATMAP,15,16592106915301738621,heatmap:POSIX,UNKNOWN,UNKNOWN,0.100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5854368,5976979,6378278,7128760,6813434,6753955,6613954,0,6833731,6382151,6409926,6815962,6676403,6455918,6509707,4738293,4941557,3574224,0,0,0,0,0,0,0,0,0,0,0,431516,2381425,2332821,0,2191071,2328674,2447963,2188336,2225750,2322676,2332923,2116647,1938926,2389150,1941542,2410997,2300213,2335548,2282467,2338313,2282134,2300756,2264307,2107555,2401564,2312236,2106220,1982981,2120467,2349643,2189569,2038716,2328125,2131138,2236798,2401905,2356993,2298522,2443715,2427229,2343528,2168887,2433935,176843,0,0,2355875,0,0,0,0,0,0,0,0,0,0,2311545,0,0,0,0,0,0,0,0,0,0,2167128,0,0,0,0,0,0,0,0,0,0,2240186,0,0,0,0,0,0,0,0,0,0,2342142,0,0,0,0,0,0,0,0,0,0
HEATMAP,2,16592106915301738621,heatmap:POSIX,UNKNOWN,UNKNOWN,0.100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7099619,6583601,7389592,7268075,7538063,7201802,6992339,0,7208717,7342596,7053833,7119107,7214682,7368387,7648790,3828397,0,0,0,0,0,0,0,0,0,0,0,0,0,299016,1628470,1720677,0,1992564,1599282,1137595,1697415,1432374,1823316,1673513,942523,1905672,1803420,1654196,2187081,2352294,2513517,1753122,2313710,2358532,2409263,2381468,2266932,1792023,2438764,2369773,2556124,2482836,2512446,2152746,2355034,2560803,2359277,2566267,1338686,2624067,2396957,2513868,2387009,2389987,2160058,2592039,3046722,2992527,3223542,979633,1304020,0,0,0,0,0,0,0,0,0,1062370,0,0,0,0,0,0,0,0,0,0,1609615,0,0,0,0,0,0,0,0,0,0,2333948,0,0,0,0,0,0,0,0,0,0,1910507,0,0,0,0,0,0,0,0,0,0
HEATMAP,3,16592106915301738621,heatmap:POSIX,UNKNOWN,UNKNOWN,0.100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6073387,6077133,6543196,7218151,7061702,7052196,6913262,0,7046316,6480990,6560858,6856082,6850582,6721678,6787090,4965302,5218222,431453,0,0,0,0,0,0,0,0,0,0,0,331911,2382110,2376516,0,2250073,2306838,2493563,2224494,2048132,1929190,2393452,2163683,1984961,2411914,2296358,2477148,2385285,2400983,2276896,2411793,2313882,2332640,2345420,2142992,2384147,2377521,2207290,1869905,2033959,2400249,2236895,2049880,2344899,2170365,2202082,1614378,2412985,2326986,2508381,2392183,2488333,2236307,2562196,623093,0,0,2159287,0,0,0,0,0,0,0,0,0,0,2306700,0,0,0,0,0,0,0,0,0,0,2196681,0,0,0,0,0,0,0,0,0,0,1719382,0,0,0,0,0,0,0,0,0,0,2353282,0,0,0,0,0,0,0,0,0,0
HEATMAP,4,16592106915301738621,heatmap:POSIX,UNKNOWN,UNKNOWN,0.100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4252660,4657398,4898074,6414122,7214481,7372150,7035559,0,6539642,6322756,6713709,6874098,6672630,4164730,6947075,6234827,6498427,6045262,0,0,0,0,0,0,0,0,0,0,0,418019,2160353,2836830,0,2828301,2422479,2000890,2070738,2033679,2229871,2410424,1987720,2030660,1491164,1902865,2135530,2061764,2000687,1465520,2135873,2287699,2244919,2018100,1869271,1223133,1936844,1961937,2149994,2133325,2125853,1931745,2067499,2071696,2603101,2058361,2097530,2140049,2382692,2365611,2280672,2312886,2237413,2195268,2259429,1097932,1052119,1947730,2235310,898063,0,0,0,0,0,0,0,0,2062057,0,0,0,0,0,0,0,0,0,0,2408638,0,0,0,0,0,0,0,0,0,0,2238051,0,0,0,0,0,0,0,0,0,0,1339306,0,0,0,0,0,0,0,0,0,0
HEATMAP,5,16592106915301738621,heatmap:POSIX,UNKNOWN,UNKNOWN,0.100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3327949,692153,1519772,3519640,4485703,2363056,3144850,0,892022,4752938,5623248,4684643,4830561,3790089,5835088,3865064,6530040,2649479,0,6569137,3061568,6416150,5044758,7302585,4743171,6485274,2728662,0,0,459157,2024399,1697594,0,2288015,1880187,2110148,1846619,2067805,2097611,2095781,1532198,1272595,1862985,2082906,2228514,1937254,1860671,2208523,1946442,2067239,1975687,1217391,1578787,559633,1802427,2030623,2241212,1992425,2281935,1494550,2194367,1916034,1945537,1503669,17090,2150398,2075541,2015867,2178331,2217962,1818927,2133344,2035287,2107002,1923341,2173528,1734273,383653,5874,50499,2290692,2073451,1117357,2265554,1481467,0,1806562,0,0,0,0,0,0,0,0,0,0,2246790,0,0,0,0,0,0,0,0,0,0,1859935,0,0,0,0,0,0,0,0,0,0,2393954,0,0,0,0,0,0,0,0,0,0
HEATMAP,6,16592106915301738621,heatmap:POSIX,UNKNOWN,UNKNOWN,0.100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6378404,6141593,7160340,7119031,7092377,7228605,6792824,0,7049551,7015975,6808218,7119350,6809915,6469730,6461875,6209889,2999923,0,0,0,0,0,0,0,0,0,0,0,0,348214,1632093,1380724,0,1713860,1796421,1657400,1750718,1546074,1805008,1462396,1873796,1599866,1970357,1563348,1662357,2227007,1940354,1367118,1369515,2052256,2250425,2168290,1699092,2009083,2168458,2006763,1923127,2044056,1746605,1701756,2090787,2267812,2265955,2058149,1573745,2291558,2245861,1784329,2306600,2248893,2218564,2325775,2212763,2213064,2056194,1370941,1775755,2141418,2271096,2477368,1467375,2155464,0,0,0,0,1654501,0,0,0,0,0,0,0,0,0,0,1590593,0,0,0,0,0,0,0,0,0,0,1839287,0,0,0,0,0,0,0,0,0,0,1517216,0,0,0,0,0,0,0,0,0,0
HEATMAP,7,16592106915301738621,heatmap:POSIX,UNKNOWN,UNKNOWN,0.100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4252688,4404266,5412800,6035877,6996843,6953632,6717884,0,6538908,5971359,6429790,6556872,6259380,3866669,6648985,5992443,6322298,6898559,0,2598347,0,0,0,0,0,0,0,0,0,471708,1323592,277146,0,21619,2054484,1865041,2144178,1592755,1958741,1824221,1758179,1882098,1460278,1986920,2097382,1977974,2286630,2046635,2092553,2227682,2209213,1908301,1680292,1895285,1757623,1930861,1954805,1594584,2080024,883221,1830748,1961505,752634,1333411,2119789,2001611,2336735,2272143,1927580,2201336,2138942,2157876,2287521,1845623,1952182,1762091,2024909,2078981,2026610,2434608,2369690,2293460,2033712,0,0,0,2020237,0,0,0,0,0,0,0,0,0,0,1624033,0,0,0,0,0,0,0,0,0,0,2222535,0,0,0,0,0,0,0,0,0,0,1603073,0,0,0,0,0,0,0,0,0,0
HEATMAP,8,16592106915301738621,heatmap:POSIX,UNKNOWN,UNKNOWN,0.100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6738616,5163815,7179673,7068716,7383661,7122003,6738373,0,6799402,7135475,6656857,6726739,6818102,6591607,2192117,3923389,6431155,4187900,0,0,0,0,0,0,0,0,0,0,0,459149,376887,1973863,0,1794459,898823,33538,1735218,1166351,2215843,2339290,2230460,2186429,2231206,658090,1558996,2181991,2102389,2276641,2154462,2250752,2415941,2452620,1292505,2457089,7801,817202,2375348,2390397,2485282,2422894,2252432,2347607,2499359,2170362,2266323,2364150,1647650,2419278,2609251,2481361,1944071,2341169,2418276,2331283,2360686,2411550,2612131,2294720,2428738,1093222,0,0,0,0,0,0,1867002,0,0,0,0,0,0,0,0,0,0,2673270,0,0,0,0,0,0,0,0,0,0,2287736,0,0,0,0,0,0,0,0,0,0,794057,0,0,0,0,0,0,0,0,0,0
HEATMAP,9,16592106915301738621,heatmap:POSIX,UNKNOWN,UNKNOWN,0.100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3946301,4557067,4926507,6198157,6937972,7033564,6772651,0,6501746,6208671,6478145,6570803,6255746,3448788,6675350,6007911,6154604,6797350,0,3386267,0,0,0,0,0,0,0,0,0,395008,1369334,277107,0,21668,2014654,1825035,2169091,1632343,1958804,1890979,1758457,1881926,1442127,1985808,2067822,1996817,2339647,2031176,2123325,2193756,2243899,1941854,1671458,1855810,1870936,1915436,1955062,1605073,2027877,899799,1823220,1969213,778326,1342703,2128975,1996342,2325450,2239889,1892193,2160507,2132650,2157830,2285458,1880621,1991773,1765611,1958952,2038058,2026395,2426443,2337385,2282982,2156213,0,0,0,2016710,0,0,0,0,0,0,0,0,0,0,1640056,0,0,0,0,0,0,0,0,0,0,2171817,0,0,0,0,0,0,0,0,0,0,1569740,0,0,0,0,0,0,0,0,0,0
